subject,session,UTC_Timestamp,BR_mean,BR_stdev,BR_1std_BB_RR,B_level,B_fluctuation,BF_elapsed_time,RtoR_mean,RtoR_stdev,RtoR_1std
26,DRIVING1,2014-3-3T11:32:24.000-05:00,54590.9,24411.3,29052.1,High,Breathing_in,1,-0.0448889,0.313417,0.116222
26,DRIVING1,2014-3-3T11:32:25.000-05:00,65514.3,7.66526,10923.4,High,Breathing_in,2,0.286889,0.375112,0.331778
26,DRIVING1,2014-3-3T11:32:26.000-05:00,25508.8,31911.3,-40005.4,Medium,Breathing_out,1,0.384,1.11022e-016,0.0971111
26,DRIVING1,2014-3-3T11:32:27.000-05:00,47320.2,29341.4,21811.4,Medium,Breathing_in,1,-0.046,0.961509,-0.43
26,DRIVING1,2014-3-3T11:32:28.000-05:00,19290.4,29829.9,-28029.9,Low,Breathing_out,1,-0.183294,0.597455,-0.137294
26,DRIVING1,2014-3-3T11:32:29.000-05:00,65499.3,9.33333,46209,High,Breathing_in,1,-0.122667,0.575114,0.0606275
26,DRIVING1,2014-3-3T11:32:30.000-05:00,54604.6,24419.2,-10894.8,High,Breathing_out,1,-0.145556,0.714139,-0.0228889
26,DRIVING1,2014-3-3T11:32:31.000-05:00,7296.72,20589.3,-47307.8,Low,Breathing_out,2,-0.180222,0.242756,-0.0346667
26,DRIVING1,2014-3-3T11:32:32.000-05:00,54602.4,24410,47305.7,High,Breathing_in,1,-0.186444,0.277093,-0.00622222
26,DRIVING1,2014-3-3T11:32:33.000-05:00,7333.94,20573.3,-47268.5,Low,Breathing_out,1,0.0202222,0.264923,0.206667
26,DRIVING1,2014-3-3T11:32:34.000-05:00,65502.4,5.71764,58168.5,High,Breathing_in,1,-0.00844444,0.259051,-0.0286667
26,DRIVING1,2014-3-3T11:32:35.000-05:00,53952.9,24974.7,-11549.6,High,Breathing_out,1,-0.0724706,0.426761,-0.0640261
26,DRIVING1,2014-3-3T11:32:36.000-05:00,54606.3,24420.5,653.395,High,Breathing_in,1,0.0393333,0.282372,0.111804
26,DRIVING1,2014-3-3T11:32:37.000-05:00,36408.7,32557.6,-18197.6,Medium,Breathing_out,1,-0.0197778,0.351865,-0.0591111
26,DRIVING1,2014-3-3T11:32:38.000-05:00,40050.3,31942.3,3641.67,Medium,Breathing_in,1,0.115778,0.255055,0.135556
26,DRIVING1,2014-3-3T11:32:39.000-05:00,7325.89,20579.4,-32724.4,Low,Breathing_out,1,-0.236,1.11022e-016,-0.351778
26,DRIVING1,2014-3-3T11:32:40.000-05:00,29133.6,32544.1,21807.7,Medium,Breathing_in,1,0.171556,0.742602,0.407556
26,DRIVING1,2014-3-3T11:32:41.000-05:00,65510.4,10.0179,36376.8,High,Breathing_in,2,0.0626667,0.319736,-0.108889
26,DRIVING1,2014-3-3T11:32:42.000-05:00,61668.9,15417.2,-3841.56,High,Breathing_out,1,-0.0268235,0.244429,-0.0894902
26,DRIVING1,2014-3-3T11:32:43.000-05:00,54608.9,24421.4,-7059.99,High,Breathing_out,2,-0.175111,0.437154,-0.148288
26,DRIVING1,2014-3-3T11:32:44.000-05:00,14583.4,27226.2,-40025.4,Low,Breathing_out,3,-0.108667,0.503132,0.0664444
26,DRIVING1,2014-3-3T11:32:45.000-05:00,40037.5,31932.7,25454.1,Medium,Breathing_in,1,-0.314889,0.430978,-0.206222
26,DRIVING1,2014-3-3T11:32:46.000-05:00,65527.1,4.18293,25489.6,High,Breathing_in,2,0.102222,0.453118,0.417111
26,DRIVING1,2014-3-3T11:32:47.000-05:00,65527.8,2.19989,0.722222,High,Breath_holding,1,0.0671111,0.366307,-0.0351111
26,DRIVING1,2014-3-3T11:32:48.000-05:00,29198.6,32495,-36329.2,Medium,Breathing_out,1,-0.193111,0.385197,-0.260222
26,DRIVING1,2014-3-3T11:32:49.000-05:00,23249.9,31165.7,-5948.73,Medium,Breathing_out,2,-0.0195294,0.332667,0.173582
26,DRIVING1,2014-3-3T11:32:50.000-05:00,50910.1,27203,27660.2,High,Breathing_in,1,0.233333,0.302511,0.252863
