GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Average trip speed(whilst stopped or moving)(km/h),Air Fuel Ratio(Measured)(:1),Barometer (on Android device)(mb),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(캜),Engine Load(%),Fuel Remaining (Calculated from vehicle profile)(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel used (trip)(gal),GPS Altitude(m),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 2(%),GPS Accuracy(m),Fuel Trim Bank 1 Short Term(%),GPS Bearing(?,GPS vs OBD Speed difference(km/h),Voltage (Control Module)(V),Mass Air Flow Rate(g/s),Intake Air Temperature(캜),Intake Manifold Pressure(psi),O2 Sensor1 Equivalence Ratio(alternate),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Engine kW (At the wheels)(kW),Horsepower (At the wheels)(hp),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Long Term Average)(mpg),Torque(Nm),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Speed (OBD)(km/h),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),CO? in g/km (Average)(g/km),Fuel Level (From Engine ECU)(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Throttle Position(Manifold)(%)
Mon Mar 03 12:23:40 EST 2014,03-Mar-2014 12:23:40.676,-79.95306688,40.44328883,12.0,3.0,254.0,70.2,-9.61,-0.25,-0.47,0,0.03,-0.05,-1.02,-0.14,49.22,-,994.86,-865.37,-,89,27.06,-107.54,1439.25,3.94,0.65,0.01,1.03,254,2.34,-,3,3.91,70.2,0.2,-,8.08,-7,-,-,44.32,1575.4,4.45,5.97,12.57,7.95,35.52,29.55,3072,2703.13,369.41,43,-,-,-,-,286.67,-,-,-,17.65
Mon Mar 03 12:23:42 EST 2014,03-Mar-2014 12:23:42.702,-79.95280455,40.443356,12.0,3.0,254.0,71.2,-9.87,-0.19,-0.85,0.03,-0.01,-0.01,-0.99,-0.16,49.21,-,994.79,-865.39,-,89,26.67,-107.54,1404,3.95,0.53,0.01,1.03,254,0.78,-,3,0.78,71.2,1.2,-,6.58,-7,-,-,44.34,1575.43,4.45,5.97,12.57,7.95,35.52,29.55,3074,2705.16,369.41,42,-,-,-,-,286.4,-,-,-,18.43
Mon Mar 03 12:23:44 EST 2014,03-Mar-2014 12:23:44.856,-79.95253306,40.44342043,12.25,3.0,254.0,71.0,-10.29,-0.45,-0.99,0.07,0.02,-0.04,-1.01,-0.19,49.21,-,995.05,-865.42,-,89,40,-107.54,1528,3.95,0.82,0.01,1.03,254,0.78,-,3,1.56,71,1.2,-,10.24,-7,-,-,44.37,1575.45,-,-,12.57,7.95,35.52,-,3076,2707.27,369.41,42,-,-,-,-,286.29,-,-,-,20.78
Mon Mar 03 12:23:46 EST 2014,03-Mar-2014 12:23:46.932,-79.95224881,40.44349183,12.75,3.0,254.0,70.9,-8.95,-0.35,-0.61,-0.07,-0.04,0.01,-0.96,-0.12,49.2,-,995.1,-865.45,-,89,26.67,-107.54,1542.25,3.95,0.82,0.01,1.03,254,0,-,3,-3.91,70.9,0,-,10.24,-7,-,-,44.39,1575.48,7.1,9.52,12.57,7.95,35.52,43.96,3078,2709.32,369.41,45,-,-,-,-,286.19,-,-,-,18.04
Mon Mar 03 12:23:48 EST 2014,03-Mar-2014 12:23:49.069,-79.9519638,40.44356489,13.0,3.0,254.0,71.3,-9.25,0.24,-0.29,-0.04,-0.01,-0.03,-0.99,-0.12,49.2,-,995.14,-865.49,-,89,32.55,-107.55,1702.75,3.95,1.25,0.02,1.03,254,0,-,3,-1.56,71.3,0.9,-,15.55,-7,-,-,44.42,1575.5,7.1,9.52,12.57,7.95,35.52,43.96,3080,2711.49,369.41,45,-,-,-,-,286.29,-,-,-,17.65
Mon Mar 03 12:23:50 EST 2014,03-Mar-2014 12:23:51.094,-79.95167984,40.44364344,13.25,3.0,253.0,71.8,-10.31,-0.36,-0.38,0.07,-0.03,-0.03,-0.97,-0.15,49.2,-,995.17,-865.51,-,89,25.1,-107.55,1523.25,3.95,0.6,0.01,1.04,253,2.34,-,3,-2.34,71.8,0.7,-,7.41,-7,-,-,44.45,1575.53,4.96,6.65,12.57,7.95,35.52,31.1,3082,2713.56,369.41,47,-,-,-,-,286.04,-,-,-,17.65
Mon Mar 03 12:23:52 EST 2014,03-Mar-2014 12:23:53.125,-79.9514039,40.44370997,13.0,4.0,251.0,71.9,-9.85,-0.4,-0.86,0.03,-0.02,-0,-0.98,-0.13,49.2,-,995.23,-865.53,-,89,25.1,-107.55,1484,3.95,0.54,0.01,1.04,251,2.34,-,4,1.56,71.9,1.7,-,6.75,-7,-,-,44.47,1575.55,4.96,6.65,12.57,7.95,35.52,31.1,3084,2715.58,369.41,46,-,-,-,-,285.74,-,-,-,17.65
Mon Mar 03 12:23:54 EST 2014,03-Mar-2014 12:23:55.156,-79.95112963,40.44376694,11.75,4.0,249.0,76.7,-9.89,-0.71,-0.17,0.03,-0.05,-0.05,-0.95,-0.13,49.2,-,995.22,-865.55,-,89,27.06,-107.56,1411.5,3.96,0.54,0.01,1.04,249,2.34,-,4,1.56,76.7,1.9,-,6.69,-7,-,-,44.5,1575.58,-,-,12.57,7.95,35.52,-,3086,2717.58,369.41,44,-,-,-,-,285.45,-,-,-,17.65
Mon Mar 03 12:23:56 EST 2014,03-Mar-2014 12:23:57.200,-79.95088238,40.44383552,11.0,3.0,249.0,71.2,-8.6,-0.36,-0.73,-0.1,0,-0.01,-1,-0.19,49.19,-,995.2,-865.57,-,89,27.06,-107.56,1271.5,3.96,0.52,0.01,1.04,249,3.91,-,3,-2.34,71.2,3.4,-,6.42,-6,-,-,44.52,1575.6,-,-,12.57,7.95,35.52,-,3089,2719.61,369.41,38,-,-,-,-,285.16,-,-,-,17.65
Mon Mar 03 12:23:58 EST 2014,03-Mar-2014 12:23:59.190,-79.95065999,40.44388925,9.5,3.0,250.0,72.6,-9.59,-1.11,-0.44,0,-0.01,-0.11,-0.98,-0.14,49.18,-,995.12,-865.59,-,89,28.63,-107.56,1117.5,3.96,0.45,0.01,1.04,250,5.47,-,3,0,72.6,3,-,5.59,-6,-,-,44.54,1575.62,-,-,12.57,7.95,35.52,-,3091,2721.65,369.41,33,-,-,-,-,284.88,-,-,-,17.65
Mon Mar 03 12:24:00 EST 2014,03-Mar-2014 12:24:01.252,-79.95046435,40.44394572,8.75,3.0,250.0,72.5,-8.88,-0.01,-0.55,-0.07,0.06,-0.01,-1.05,-0.15,49.17,-,995.16,-865.61,-,89,29.41,-107.56,1007,3.96,0.41,0.01,1.04,250,4.69,-,3,-1.56,72.5,1.4,-,5.14,-6,-,-,44.56,1575.64,-,-,12.57,7.95,35.52,-,3093,2723.73,369.41,31,-,-,-,-,284.61,-,-,-,17.65
Mon Mar 03 12:24:02 EST 2014,03-Mar-2014 12:24:03.263,-79.9502784,40.44399529,8.0,4.0,252.0,71.1,-10.09,-0.36,-0.87,0.05,-0.06,-0.05,-0.93,-0.16,49.15,-,995.11,-865.64,-,89,61.18,-107.57,1333.25,3.96,0.91,0.02,1.04,252,3.91,-,4,1.56,71.1,1.7,-,11.29,-7,-,-,44.58,1575.66,-,-,12.57,7.95,35.52,-,3095,2725.66,369.41,28,-,-,-,-,284.74,-,-,-,17.65
Mon Mar 03 12:24:04 EST 2014,03-Mar-2014 12:24:05.262,-79.95008245,40.4439992,8.25,4.0,252.0,86.8,-9.25,-0.34,-0.4,-0.04,-0.02,-0.02,-0.98,-0.15,49.14,-,995.05,-865.66,-,89,32.16,-107.57,1176,3.96,0.62,0.01,1.04,252,5.47,-,4,-4.69,86.8,0.2,-,7.69,-7,-,-,44.59,1575.67,1.55,2.07,12.57,7.95,35.52,12.56,3097,2727.72,369.41,29,-,-,-,-,284.71,-,-,-,17.65
Mon Mar 03 12:24:06 EST 2014,03-Mar-2014 12:24:07.263,-79.9499152,40.44405895,7.75,4.0,252.0,69.7,-10.31,-0.66,-0.69,0.07,-0.03,-0.06,-0.97,-0.15,49.13,-,995.04,-865.67,-,89,30.2,-107.57,950.25,3.96,0.39,0.01,1.04,252,3.91,-,4,-1.56,69.7,1.8,-,4.87,-6,-,-,44.61,1575.69,1.55,2.07,12.57,7.95,35.52,12.56,3099,2729.72,369.41,27,-,-,-,-,284.46,-,-,-,17.65
Mon Mar 03 12:24:08 EST 2014,03-Mar-2014 12:24:09.315,-79.94975362,40.44410158,7.0,3.0,251.0,70.8,-9.64,-0.7,-0.44,0.01,-0.05,-0.09,-0.94,-0.12,49.11,-,995.03,-865.68,-,89,31.76,-107.57,844.75,3.96,0.32,0.01,1.04,251,7.03,-,3,0.78,70.8,3,-,4.04,-6,-,-,44.62,1575.7,-,-,12.57,7.95,35.52,-,3101,2731.76,369.41,24,-,-,-,-,284.18,-,-,-,17.65
Mon Mar 03 12:24:10 EST 2014,03-Mar-2014 12:24:11.392,-79.94960169,40.44412285,6.0,3.0,252.0,71.3,-9.38,-0.09,-1.85,-0.01,0.05,-0.07,-1.04,-0.14,49.09,-,995.11,-865.7,-,90,32.55,-107.57,777.75,3.96,0.31,0.01,1.04,252,7.03,-,3,-0.78,71.3,2.5,-,3.87,-6,-,-,44.64,1575.72,-,-,12.57,7.95,35.52,-,3103,2733.84,369.41,20,-,-,-,-,283.93,-,-,-,19.22
Mon Mar 03 12:24:12 EST 2014,03-Mar-2014 12:24:13.402,-79.94947301,40.44416009,5.5,3.0,252.0,72.2,-8.55,-0.38,-0.3,-0.11,0.07,-0.1,-1.05,-0.26,49.07,-,994.95,-865.71,-,90,31.76,-107.57,896,3.96,0.36,0.01,1.04,252,6.25,-,3,-6.25,72.2,1.7,-,4.48,-6,-,-,44.65,1575.73,-,-,12.57,7.95,35.52,-,3105,2735.88,369.41,19,-,-,-,-,283.79,-,-,-,17.65
Mon Mar 03 12:24:14 EST 2014,03-Mar-2014 12:24:15.391,-79.94935735,40.44419958,5.0,3.0,253.0,72.1,-8.44,-0.19,-0.08,-0.12,-0,-0.02,-0.86,-0.11,49.05,-,994.96,-865.72,-,90,35.29,-107.57,736.75,3.97,0.31,0.01,1.04,253,6.25,-,3,-10.16,72.1,1.9,-,3.87,-6,-,-,44.66,1575.74,-,-,12.57,7.95,35.52,-,3107,2737.88,369.41,17,-,-,-,-,283.62,-,-,-,17.65
Mon Mar 03 12:24:16 EST 2014,03-Mar-2014 12:24:17.350,-79.9492602,40.44423638,4.25,3.0,255.0,71.6,-9.15,-0.3,0.97,-0.04,0.03,-0.07,-1.02,-0.04,49.03,-,994.96,-865.73,-,90,32.55,-107.58,818.25,3.97,0.31,0.01,1.04,255,7.03,-,3,-3.91,71.6,3.1,-,3.82,-6,-,-,44.66,1575.75,-,-,12.57,7.95,35.52,-,3109,2739.82,369.41,14,-,-,-,-,283.49,-,-,-,17.65
Mon Mar 03 12:24:18 EST 2014,03-Mar-2014 12:24:19.322,-79.94920909,40.44425225,1.75,4.0,255.0,66.0,-10.03,-0.57,-1.31,0.05,-0.08,-0.03,-0.92,-0.18,49,-,994.89,-865.74,-,90,35.69,-107.58,708.25,3.97,0.31,0.01,1.04,255,6.25,-,4,-3.12,66,6.8,-,3.87,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3111,2741.77,369.41,4,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:20 EST 2014,03-Mar-2014 12:24:21.305,-79.94917908,40.44425796,1.25,3.0,256.0,72.6,-9.91,-0.52,-0.59,0.03,0.01,-0.05,-1.01,-0.16,48.97,-,994.9,-865.75,-,90,35.29,-107.58,722.25,3.97,0.31,0.01,1.04,256,7.03,-,3,2.34,72.6,0.3,-,3.82,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3113,2743.78,369.41,3,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:22 EST 2014,03-Mar-2014 12:24:23.337,-79.9491505,40.44426326,0.75,3.0,257.0,69.8,-9.4,-0.39,-0.77,-0.02,0.03,-0.06,-0.96,-0.18,48.94,-,994.96,-865.75,-,90,35.29,-107.58,714.5,3.97,0.31,0.01,1.04,257,6.25,-,3,-0.78,69.8,3.6,-,3.82,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3115,2744.61,370.57,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:24 EST 2014,03-Mar-2014 12:24:25.295,-79.94912779,40.44425352,0.0,3.0,256.0,0.0,-9.25,-0.39,-0.68,-0.03,-0.03,-0.04,-0.94,-0.17,48.91,-,994.96,-865.75,-,91,36.86,-107.58,685.75,3.97,0.31,0.01,1.04,256,6.25,-,3,0.78,0,0,-,3.87,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3117,2744.61,372.57,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:26 EST 2014,03-Mar-2014 12:24:27.285,-79.94912475,40.44425207,0.0,3.0,256.0,0.0,-9.19,-0.31,-0.63,-0.04,0,-0.06,-0.99,-0.21,48.88,-,994.94,-865.76,-,91,36.47,-107.58,706.75,3.97,0.31,0.01,1.04,256,6.25,-,3,-0.78,0,0,-,3.82,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3119,2744.61,374.5,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:28 EST 2014,03-Mar-2014 12:24:29.352,-79.94912512,40.44425595,0.0,3.0,257.0,0.0,-9.84,-0.62,-0.87,0.03,-0.01,-0.05,-0.98,-0.19,48.85,-,994.9,-865.77,-,91,36.47,-107.58,693.75,3.97,0.31,0.01,1.04,257,6.25,-,3,-0.78,0,0,-,3.87,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3121,2744.61,376.53,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:30 EST 2014,03-Mar-2014 12:24:31.352,-79.94912505,40.44425846,0.0,3.0,257.0,0.0,-9.57,-0.43,-0.83,-0,-0.06,-0.04,-0.94,-0.16,48.82,-,994.97,-865.78,-,91,36.47,-107.58,700.25,3.97,0.31,0.01,1.04,257,6.25,-,3,-0.78,0,0,-,3.82,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3123,2744.61,378.61,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:32 EST 2014,03-Mar-2014 12:24:33.397,-79.94912706,40.44426143,0.0,3.0,257.0,0.0,-9.33,-0.37,-0.74,-0.03,0.02,-0.07,-1.02,-0.19,48.79,-,994.98,-865.79,-,91,37.25,-107.59,695,3.97,0.31,0.01,1.04,257,6.25,-,3,1.56,0,0,-,3.87,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3125,2744.61,380.69,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:35 EST 2014,03-Mar-2014 12:24:35.420,-79.94912472,40.44426406,0.0,3.0,258.0,0.0,-9.32,-0.36,-0.64,0.06,0.04,-0.08,-1.03,-0.2,48.76,-,994.9,-865.8,-,91,36.86,-107.59,690,3.97,0.32,0.01,1.04,258,6.25,-,3,-3.12,0,0,-,3.93,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3127,2744.61,382.84,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:36 EST 2014,03-Mar-2014 12:24:37.424,-79.94912471,40.4442639,0.0,3.0,258.0,0.0,-9.77,-0.47,-1,0.02,-0.05,-0.04,-0.94,-0.18,48.73,-,994.96,-865.81,-,91,36.86,-107.59,715,3.97,0.32,0.01,1.04,258,6.25,-,3,-2.34,0,0,-,3.93,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3129,2744.61,384.7,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:39 EST 2014,03-Mar-2014 12:24:39.512,-79.9491245,40.44426384,0.0,3.0,258.0,0.0,-9.44,-0.43,-0.79,-0.01,-0.02,-0.05,-0.97,-0.19,48.7,-,994.84,-865.82,-,91,36.86,-107.59,716.25,3.97,0.33,0.01,1.04,258,6.25,-,3,2.34,0,0,-,4.09,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3131,2744.61,386.94,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:41 EST 2014,03-Mar-2014 12:24:41.477,-79.94912449,40.44426387,0.0,3.0,258.0,0.0,-9.73,-0.59,-0.89,0.02,-0,-0.06,-0.99,-0.19,48.67,-,994.88,-865.83,-,91,36.86,-107.59,698.75,3.97,0.32,0.01,1.04,258,6.25,-,3,0.78,0,0,-,3.98,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3133,2744.61,388.92,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:42 EST 2014,03-Mar-2014 12:24:43.459,-79.94912449,40.44426386,0.0,3.0,258.0,0.0,-9.57,-0.49,-0.91,0,-0.02,-0.05,-0.98,-0.19,48.64,-,994.88,-865.84,-,91,37.25,-107.59,697.5,3.97,0.32,0.01,1.04,258,6.25,-,3,-3.12,0,0,-,3.98,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3135,2744.61,390.7,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:44 EST 2014,03-Mar-2014 12:24:45.472,-79.94912446,40.44426391,0.0,3.0,258.0,0.0,-9.25,-0.42,-0.75,-0.03,-0.07,-0.03,-0.93,-0.16,48.61,-,994.85,-865.85,-,91,36.86,-107.59,710.5,3.98,0.32,0.01,1.04,258,6.25,-,3,-2.34,0,0,-,4.04,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3137,2744.61,392.7,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:47 EST 2014,03-Mar-2014 12:24:47.470,-79.94912436,40.44426384,0.0,3.0,258.0,0.0,-9.66,-0.44,-0.99,0.01,-0.04,-0.05,-0.96,-0.18,48.58,-,994.95,-865.86,-,91,36.86,-107.59,711,3.98,0.32,0.01,1.04,258,6.25,-,3,-2.34,0,0,-,3.93,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3139,2744.61,394.91,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:49 EST 2014,03-Mar-2014 12:24:49.451,-79.94912432,40.44426382,0.0,3.0,258.0,0.0,-9.43,-0.37,-0.79,-0.02,-0.03,-0.05,-0.97,-0.2,48.55,-,994.95,-865.87,-,90,36.47,-107.6,720.75,3.98,0.32,0.01,1.04,258,6.25,-,3,-1.56,0,0,-,3.93,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3141,2744.61,396.89,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:51 EST 2014,03-Mar-2014 12:24:51.399,-79.94912432,40.44426382,0.0,3.0,258.0,0.0,-9.69,-0.59,-0.99,0.01,-0.03,-0.04,-0.96,-0.18,48.52,-,994.89,-865.88,-,90,36.86,-107.6,708,3.98,0.32,0.01,1.04,258,6.25,-,3,1.56,0,0,-,3.98,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3143,2744.61,398.86,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:52 EST 2014,03-Mar-2014 12:24:53.346,-79.94912429,40.44426387,0.0,3.0,258.0,0.0,-9.24,-0.35,-0.63,-0.04,0.01,-0.07,-1,-0.2,48.49,-,994.88,-865.89,-,90,36.86,-107.6,709.5,3.98,0.31,0.01,1.04,258,6.25,-,3,1.56,0,0,-,3.87,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3145,2744.61,400.6,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:54 EST 2014,03-Mar-2014 12:24:55.367,-79.94912428,40.4442639,0.0,3.0,258.0,0.0,-9.27,-0.41,-0.73,-0.03,0.02,-0.06,-1.01,-0.2,48.46,-,994.88,-865.9,-,90,36.86,-107.6,699.75,3.98,0.32,0.01,1.04,258,6.25,-,3,-3.12,0,0,-,3.98,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3147,2744.61,402.6,0,-,-,-,-,283.45,-,-,-,17.65
Mon Mar 03 12:24:57 EST 2014,03-Mar-2014 12:24:57.801,-79.94912194,40.44426436,0.25,3.0,258.0,69.8,-9.72,-0.43,-2.38,0.04,-0.06,-0.05,-0.92,-0.3,48.43,-,994.85,-865.91,-,90,36.47,-107.6,718.25,3.98,0.32,0.01,1.04,258,6.25,-,3,-2.34,69.8,0,-,3.93,-6,-,-,44.67,1575.75,-,-,12.57,7.95,35.52,-,3149,2744.61,405,0,-,-,-,-,283.45,-,-,-,23.53
Mon Mar 03 12:24:59 EST 2014,03-Mar-2014 12:24:59.579,-79.94909254,40.44427656,1.5,3.0,258.0,70.2,-9.28,-0.43,-2.38,-0,0.04,-0.05,-0.99,-0.39,48.4,-,994.88,-865.95,-,90,62.75,-107.61,1353,3.98,1.12,0.02,1.04,258,0,-,3,1.56,70.2,3.3,-,13.95,-5,-,-,44.67,1575.75,1.75,2.35,12.57,7.95,35.52,12.39,3151,2745.62,405.85,6,-,-,-,-,283.45,-,-,-,27.45
Mon Mar 03 12:25:01 EST 2014,03-Mar-2014 12:25:01.497,-79.94898892,40.44430467,5.25,3.0,258.0,71.2,-9.07,-0.11,-1.95,-0.04,-0.1,0.03,-0.9,-0.24,48.38,-,994.84,-866,-,90,60,-107.61,1936.25,3.99,1.89,0.03,1.04,258,0,-,3,-1.56,71.2,12.6,-,23.47,-4,-,-,44.68,1575.76,12.17,16.32,12.57,7.95,35.52,60.03,3153,2747.61,405.85,18,-,-,-,-,283.45,-,-,-,28.24
Mon Mar 03 12:25:03 EST 2014,03-Mar-2014 12:25:03.545,-79.94878863,40.44435718,8.0,3.0,258.0,71.2,-9.62,-0.71,-1.79,0.02,-0.08,-0.02,-0.91,-0.25,48.37,-,994.74,-866.06,-,89,66.67,-107.62,1846.25,3.99,2.09,0.03,1.04,258,0,-,3,-5.47,71.2,8.1,-,25.96,-4,-,-,44.69,1575.77,12.96,17.38,12.57,7.95,35.52,67.01,3155,2749.63,405.85,27,-,-,-,-,285.67,-,-,-,29.41
Mon Mar 03 12:25:05 EST 2014,03-Mar-2014 12:25:05.548,-79.94857555,40.44441175,10.0,3.0,257.0,73.1,-9.88,1.46,-1.7,0.05,-0.08,0.15,-0.85,-0.41,48.36,-,994.77,-866.12,-,89,61.96,-107.63,2024.25,3.99,2.14,0.04,1.05,257,0,-,3,-5.47,73.1,5.2,-,26.68,-4,-,-,44.71,1575.79,12.68,17.01,12.57,7.95,35.52,59.83,3157,2751.67,405.85,34,-,-,-,-,287.01,-,-,-,26.67
Mon Mar 03 12:25:07 EST 2014,03-Mar-2014 12:25:07.575,-79.9483422,40.44445074,11.25,3.0,254.0,82.9,-10.06,-0.01,-1.11,0.05,-0.1,0.06,-0.89,-0.15,48.36,-,994.84,-866.17,-,88,34.9,-107.64,1756,4,1.77,0.03,1.05,254,0.78,-,3,-3.91,82.9,3,-,21.98,-4,-,-,44.73,1575.81,10.31,13.82,12.57,7.95,35.52,56.04,3159,2753.61,405.85,39,-,-,-,-,287.68,-,-,-,17.65
Mon Mar 03 12:25:09 EST 2014,03-Mar-2014 12:25:09.604,-79.94807562,40.44445889,12.0,3.0,253.0,87.2,-8.79,-0.2,-0.4,-0.08,-0.02,-0.06,-0.97,-0.17,48.35,-,994.86,-866.18,-,88,51.37,-107.64,1439.25,4,0.69,0.01,1.05,253,1.56,-,3,4.69,87.2,0.5,-,8.63,-4,-,-,44.75,1575.83,4.39,5.89,12.57,7.95,35.52,29.15,3161,2755.71,405.85,41,-,-,-,-,287.53,-,-,-,18.43
Mon Mar 03 12:25:11 EST 2014,03-Mar-2014 12:25:11.615,-79.94780527,40.44446683,11.75,3.0,251.0,87.1,-8.24,-0.03,0.3,-0.14,-0.14,0.02,-0.86,-0.12,48.35,-,994.88,-866.21,-,88,29.02,-107.64,1497.25,4,0.78,0.01,1.05,251,1.56,-,3,2.34,87.1,0.2,-,9.68,-4,-,-,44.77,1575.86,4.6,6.17,12.57,7.95,35.52,29.35,3163,2757.68,405.85,43,-,-,-,-,287.42,-,-,-,17.65
Mon Mar 03 12:25:13 EST 2014,03-Mar-2014 12:25:13.599,-79.94754442,40.44447766,11.5,3.0,249.0,87.8,-8.92,-0.15,-1.2,-0.06,0.04,-0.03,-1.02,-0.26,48.34,-,994.99,-866.22,-,89,49.8,-107.64,1354.25,4,0.52,0.01,1.05,249,0,-,3,3.91,87.8,1.3,-,6.42,-4,-,-,44.8,1575.88,4.6,6.17,12.57,7.95,35.52,29.35,3165,2759.71,405.85,41,-,-,-,-,287.13,-,-,-,31.76
Mon Mar 03 12:25:15 EST 2014,03-Mar-2014 12:25:15.662,-79.94725845,40.44447421,12.25,4.0,248.0,89.4,-9.8,-0.47,0.53,0.02,0.03,-0.07,-1.02,-0.1,48.34,-,995.08,-866.31,-,89,34.51,-107.65,2021,4.01,2.49,0.04,1.05,248,0,-,4,-3.91,89.4,4.6,-,31,-4,-,-,44.82,1575.9,12.59,16.89,12.57,7.95,35.52,59.5,3167,2761.67,405.85,46,-,-,-,-,288.02,-,-,-,17.65
Mon Mar 03 12:25:17 EST 2014,03-Mar-2014 12:25:17.673,-79.94695886,40.44448421,13.0,3.0,246.0,89.5,-9.3,-0.37,0.69,-0.03,0.02,-0.09,-1.02,-0.07,48.34,-,995.05,-866.32,-,89,27.45,-107.66,1570.25,4.01,0.78,0.01,1.05,246,1.56,-,3,-1.56,89.5,1.7,-,9.68,-4,-,-,44.85,1575.93,12.59,16.89,12.57,7.95,35.52,59.5,3169,2763.7,405.85,46,-,-,-,-,287.85,-,-,-,17.65
Mon Mar 03 12:25:19 EST 2014,03-Mar-2014 12:25:19.663,-79.94670357,40.44449802,10.5,3.0,245.0,87.8,-10.13,-1.05,0.56,0.06,-0.02,-0.05,-0.98,-0.09,48.34,-,995.06,-866.34,-,90,26.67,-107.66,1354.5,4.01,0.53,0.01,1.05,245,4.69,-,3,2.34,87.8,6.8,-,6.58,-4,-,-,44.87,1575.95,-,-,12.57,7.95,35.52,-,3171,2765.69,405.85,40,-,-,-,-,287.55,-,-,-,17.65
Mon Mar 03 12:25:21 EST 2014,03-Mar-2014 12:25:21.699,-79.94651455,40.44451021,7.75,3.0,244.0,87.2,-10.3,-0.56,0.58,0.07,-0.15,-0.01,-0.79,0.21,48.32,-,995.13,-866.36,-,90,28.63,-107.66,1054.75,4.01,0.44,0.01,1.05,244,4.69,-,3,-7.03,87.2,4.3,-,5.53,-4,-,-,44.89,1575.97,-,-,12.57,7.95,35.52,-,3173,2767.68,405.85,29,-,-,-,-,287.24,-,-,-,17.65
Mon Mar 03 12:25:23 EST 2014,03-Mar-2014 12:25:23.731,-79.9463977,40.44451649,4.25,3.0,243.0,89.8,-9.61,0.03,0.66,0,0.02,-0.09,-1.01,-0.03,48.31,-,995.11,-866.38,-,90,34.12,-107.66,784.5,4.01,0.34,0.01,1.05,243,7.03,-,3,-4.69,89.8,4.6,-,4.2,-4,-,-,44.9,1575.98,-,-,12.57,7.95,35.52,-,3175,2769.72,405.85,17,-,-,-,-,286.95,-,-,-,17.65
