subject,session,UTC_Timestamp,ECG_mean,ECG_stdev,ECG_1std
5,DRIVING1,2013-11-1T11:36:20.000-05:00,2053.61,98.3124,-3.632
5,DRIVING1,2013-11-1T11:36:21.000-05:00,2055.05,127.85,1.44
5,DRIVING1,2013-11-1T11:36:22.000-05:00,2047.21,110.328,-7.84
5,DRIVING1,2013-11-1T11:36:23.000-05:00,2062.92,117.956,15.712
5,DRIVING1,2013-11-1T11:36:24.000-05:00,2055.85,87.4352,-7.072
5,DRIVING1,2013-11-1T11:36:25.000-05:00,2054.98,139.926,-0.864
5,DRIVING1,2013-11-1T11:36:26.000-05:00,2054.95,97.7654,-0.032
5,DRIVING1,2013-11-1T11:36:27.000-05:00,2058.25,129.409,3.296
5,DRIVING1,2013-11-1T11:36:28.000-05:00,2051.91,96.7484,-6.336
5,DRIVING1,2013-11-1T11:36:29.000-05:00,2046.47,109.78,-5.44
5,DRIVING1,2013-11-1T11:36:30.000-05:00,2063.83,112.334,17.36
5,DRIVING1,2013-11-1T11:36:31.000-05:00,2057.69,142.767,-6.144
5,DRIVING1,2013-11-1T11:36:32.000-05:00,2051.72,101.254,-5.968
5,DRIVING1,2013-11-1T11:36:33.000-05:00,2057.62,130.134,5.904
5,DRIVING1,2013-11-1T11:36:34.000-05:00,2053.8,99.4714,-3.824
5,DRIVING1,2013-11-1T11:36:35.000-05:00,2058.02,137.698,4.224
5,DRIVING1,2013-11-1T11:36:36.000-05:00,2051.37,91.3111,-6.656
5,DRIVING1,2013-11-1T11:36:37.000-05:00,2058.12,129.151,6.752
5,DRIVING1,2013-11-1T11:36:38.000-05:00,2052.41,104.644,-5.712
5,DRIVING1,2013-11-1T11:36:39.000-05:00,2057.19,136.771,4.784
5,DRIVING1,2013-11-1T11:36:40.000-05:00,2053.21,88.8583,-3.984
5,DRIVING1,2013-11-1T11:36:41.000-05:00,2056.6,136.882,3.392
5,DRIVING1,2013-11-1T11:36:42.000-05:00,2053.8,101.203,-2.8
5,DRIVING1,2013-11-1T11:36:43.000-05:00,2054.58,135.684,0.784
5,DRIVING1,2013-11-1T11:36:44.000-05:00,2055.46,93.153,0.88
5,DRIVING1,2013-11-1T11:36:45.000-05:00,2055.94,130.904,0.48
5,DRIVING1,2013-11-1T11:36:46.000-05:00,2045.91,115.516,-10.032
5,DRIVING1,2013-11-1T11:36:47.000-05:00,2064.23,127.961,18.32
5,DRIVING1,2013-11-1T11:36:48.000-05:00,2054.55,90.3812,-9.68
5,DRIVING1,2013-11-1T11:36:49.000-05:00,2054.94,141.914,0.384
5,DRIVING1,2013-11-1T11:36:50.000-05:00,2054.95,102.018,0.016
5,DRIVING1,2013-11-1T11:36:51.000-05:00,2054.87,97.9253,-0.08
